ticker,company,sector,industry,pe,fwd_pe,eps_qq,sales_qq,insider_trans,inst_trans,short_float,perf_quarter,perf_half,beta,pct_from_52w_high,recom,avg_volume,rel_volume,price,earnings,target_price,market_cap
AORT,Artivion Inc,Healthcare,Medical Devices,,80.87,-1039.19,11.32,-4.95,4.18,6.34,10.19,-36.08,1.22,-51.61,1.0,703600.0,2.72,23.35,Aug 06/a,42.15,1140000000.0
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,15.88,14.0,-15.18,-0.69,0.0,4.42,9.67,-2.18,-11.76,1.11,-30.43,2.62,1620000.0,2.02,56.95,Jul 30/b,69.7,7740000000.0
AOSL,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors,,80.63,83.17,-3.46,-1.23,3.6900000000000004,10.71,-47.13,17.43,2.65,-53.26,2.0,651770.0,2.7,25.4,Aug 12/a,46.4,768590000.0
APAM,Artisan Partners Asset Management Inc,Financial,Asset Management,9.11,9.24,18.68,8.05,-0.39,2.39,4.88,2.23,1.69,1.69,-20.13,3.0,858370.0,2.16,36.68,Jul 28/a,39.5,2970000000.0
APLD,Applied Digital Corp,Technology,Information Technology Services,,,-62.41,580.68,-0.38,5.06,22.22,-39.64,5.32,5.98,-44.56,1.12,18000000.0,1.33,28.12,Jul 27/a,69.82,8199999999.999999
APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,21.02,20.98,6.05,4.73,0.03,-0.16,9.13,-6.09,31.7,0.93,-9.84,2.55,2840000.0,1.79,15.58,Aug 05/a,17.17,3680000000.0
APPN,Appian Corp,Technology,Software - Infrastructure,,26.46,-3759.52,19.11,-0.5,-1.52,9.94,79.09,45.03,0.91,-18.54,3.11,874980.0,1.6,37.52,Aug 06/b,34.0,2690000000.0
APPS,Digital Turbine Inc,Technology,Software - Application,,11.22,29.020000000000003,26.780000000000005,0.0,1.78,9.53,23.81,229.01,3.03,-30.490000000000002,1.0,3740000.0,0.95,10.66,Aug 04/a,17.0,1290000000.0
AQST,Aquestive Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,,,-34.09,38.15,-2.09,0.1,21.43,-2.12,13.55,1.49,-38.94,1.0,2780000.0,1.26,4.61,Aug 11/a,9.33,578610000.0
ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology,,,-147.28,-96.41,0.0,3.4000000000000004,23.4,112.88,138.54,2.45,-33.68,1.46,886140.0,0.95,16.03,Aug 06/a,22.3,455620000.0
ARDX,Ardelyx Inc,Healthcare,Biotechnology,,13.17,15.22,23.77,-4.52,-1.17,9.49,-43.47,-37.82,0.68,-59.29,1.0,4420000.0,1.46,3.42,Aug 06/a,12.9,852220000.0
ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,,,33.01,-13.03,0.22,2.64,4.29,4.45,7.629999999999999,1.15,-39.59,3.06,1860000.0,2.21,53.3,Aug 03/a,53.36,9290000000.0
AREC,American Resources Corp,Industrials,Waste Management,,6.71,56.13,-99.93,0.0,-2.03,14.55,-6.480000000000001,-28.190000000000005,1.16,-71.72,1.0,2530000.0,1.01,1.98,Aug 18,6.0,211800000.0
ARHS,Arhaus Inc,Consumer Cyclical,Specialty Retail,15.96,13.71,12.560000000000002,7.380000000000001,-0.0,2.02,12.39,7.3,9.87,2.32,-32.33,2.27,1300000.0,1.51,7.79,Aug 06/b,10.5,1100000000.0
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,8.14,11.39,-12.45,-239.95,-0.4099999999999999,-6.34,4.31,-11.25,-7.580000000000001,1.46,-14.49,1.5,5210000.0,1.13,6.42,Aug 10/a,8.0,825250000.0
ARKO,ARKO Corp,Consumer Cyclical,Specialty Retail,55.6,32.46,-75.02,17.36,-0.09,7.21,8.68,-43.66,-18.69,0.92,-51.800000000000004,2.0,964850.0,3.24,4.22,Aug 07/b,9.0,473420000.0
ARLO,Arlo Technologies Inc,Industrials,Building Products & Equipment,47.82,12.91,-5.54,20.5,-6.309999999999999,1.01,11.1,1.38,-10.84,1.59,-33.6,1.14,1310000.0,1.67,13.24,Aug 06/a,21.0,1420000000.0
AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services,16.95,15.4,5.71,-3.11,-6.43,3.02,4.28,-14.63,-13.11,0.91,-25.27,1.12,2009999.9999999998,2.23,31.56,Aug 04/a,42.33,5530000000.0
