date,horizon,signal,q,median,mean
2026-08-21,5,composite,5,-0.0058064651258301625,-0.0035060390037342888
2026-08-21,5,mom5,1,-0.030986982051911527,-0.021896304683867992
2026-08-21,5,mom5,2,-0.010460406499051444,-0.012559029879744704
2026-08-21,5,mom5,3,-0.009831417970412204,-0.01037546762254017
2026-08-21,5,mom5,4,-0.007915723692642984,-0.0044022924599226715
2026-08-21,5,mom5,5,-0.007070408075559365,-0.007707688877770518
2026-08-21,5,mom60_skip5,1,-0.031609189364923185,-0.015703235686604106
2026-08-21,5,mom60_skip5,2,-0.019776852218253982,-0.023267130318839223
2026-08-21,5,mom60_skip5,3,-0.009693060199817416,-0.008052195435760549
2026-08-21,5,mom60_skip5,4,-0.008024014555345793,-0.011148285441770892
2026-08-21,5,mom60_skip5,5,-0.00038315052627113655,0.0016040794039930623
2026-08-21,5,mom60_riskadj,1,-0.025089582150498058,-0.017809535803825157
2026-08-21,5,mom60_riskadj,2,-0.02226582489418727,-0.01770160827901706
2026-08-21,5,mom60_riskadj,3,-0.01188021208276796,-0.01455598793578346
2026-08-21,5,mom60_riskadj,4,-0.010247765881647053,-0.009072210629365762
2026-08-21,5,mom60_riskadj,5,-0.001394407741632242,0.00257791697348018
2026-08-21,5,vol_5_50,1,-0.01639342660450327,-0.014948494333883983
2026-08-21,5,vol_5_50,2,-0.009831417970412204,-0.01087860453198382
2026-08-21,5,vol_5_50,3,-0.009244988368025342,-0.007261844760250177
2026-08-21,5,vol_5_50,4,-0.011242313246026314,-0.013483549142477978
2026-08-21,5,vol_5_50,5,-0.020092680343025027,-0.010444278541431868
2026-08-21,5,squeeze_own,1,-0.01500693032486694,-0.01603922996579235
2026-08-21,5,squeeze_own,2,-0.00837165595230116,-0.015277602216624194
2026-08-21,5,squeeze_own,3,-0.00724861594813031,-0.007127562370861856
2026-08-21,5,squeeze_own,4,-0.018248157716151847,-0.01631421474146243
2026-08-21,5,squeeze_own,5,-0.010846979509098076,-0.0056663802470917094
2026-08-21,5,low_vol,1,-0.027806467992695094,-0.018113024534974546
2026-08-21,5,low_vol,2,-0.019337025238164107,-0.01694782885032321
2026-08-21,5,low_vol,3,-0.017886200294088384,-0.007779873908207262
2026-08-21,5,low_vol,4,-0.01168842186615926,-0.007761073159054896
2026-08-21,5,low_vol,5,-0.006650701867338071,-0.006326854128695796
2026-08-21,5,near_high,1,-0.043636322021484375,-0.025526782495162787
2026-08-21,5,near_high,2,-0.01836073648753367,-0.012299798540222404
2026-08-21,5,near_high,3,-0.010088025028597458,-0.010391960962840624
2026-08-21,5,near_high,4,-0.007090838338908445,-0.004910491724152135
2026-08-21,5,near_high,5,-0.004569719656796423,-0.003367943334213352
2026-08-21,5,vs_sma50,1,-0.02166066299436653,-0.015101291930889374
2026-08-21,5,vs_sma50,2,-0.018320594015365788,-0.01448808783398775
2026-08-21,5,vs_sma50,3,-0.009210733815628092,-0.012355259319910676
2026-08-21,5,vs_sma50,4,-0.006670791441689916,-0.011646941507137049
2026-08-21,5,vs_sma50,5,-0.0070985691331769685,-0.0034251907181029736
2026-08-21,5,vs_sma20,1,-0.016314050890025467,-0.013155733169195329
2026-08-21,5,vs_sma20,2,-0.01303826613199377,-0.008637271202280522
2026-08-21,5,vs_sma20,3,-0.007869663849070063,-0.011048128038661524
2026-08-21,5,vs_sma20,4,-0.014996929786912527,-0.015254044793331175
2026-08-21,5,vs_sma20,5,-0.012114091471094712,-0.008848749593350027
2026-08-21,5,rule5,1,-0.025866870259430352,-0.02697291316938941
2026-08-21,5,rule5,2,-0.021530496920453945,-0.00701969088691553
2026-08-21,5,rule5,3,-0.011883253630401991,-0.012700193348456502
2026-08-21,5,rule5,4,-0.009096982167319745,-0.009531889898947953
2026-08-21,5,rule5,5,-0.004402065591144644,-0.00028003399188239974
2026-08-21,5,rule5_mom20,1,-0.02017940623724379,-0.011481244338545818
2026-08-21,5,rule5_mom20,2,-0.024116239968324737,-0.02123772182806028
2026-08-21,5,rule5_mom20,3,-0.013364380936625453,-0.01667140869132734
2026-08-21,5,rule5_mom20,4,-0.007070408075559365,-0.0064466359010316235
2026-08-21,5,rule5_mom20,5,-0.0046362718926747926,-0.0007386212985333035
2026-08-21,10,mom20,1,-0.02246567544929423,-0.020473277408073306
2026-08-21,10,mom20,2,-0.009921356107989165,-0.016466704855921072
2026-08-21,10,mom20,3,-0.007028081782742834,-0.006349853984706168
2026-08-21,10,mom20,4,-0.014445820877458548,-0.011602583815852906
2026-08-21,10,mom20,5,-0.010721695964086841,-0.010862227256027856
2026-08-21,10,vol_ratio,1,-0.013104933323723311,-0.01843719068610672
2026-08-21,10,vol_ratio,2,-0.01825266824441424,-0.015568103208402162
2026-08-21,10,vol_ratio,3,-0.015299004878674083,-0.018769413732294092
2026-08-21,10,vol_ratio,4,-0.009246986960248282,-0.015306141689288892
2026-08-21,10,vol_ratio,5,-0.00686973699808463,0.00226816666958725
2026-08-21,10,squeeze,1,-0.027467104573653478,-0.03288064788650845
2026-08-21,10,squeeze,2,-0.00042809197861942705,-0.006690810376793771
