date,horizon,signal,ic
2026-07-24,5,vs_sma50,0.08069159475017
2026-07-24,5,vs_sma20,0.03893045099872788
2026-07-24,5,rule5,0.054714358521318354
2026-07-24,5,rule5_mom20,0.06132910955432369
2026-07-24,10,mom20,-0.12121359357783382
2026-07-24,10,vol_ratio,0.05400440080393148
2026-07-24,10,squeeze,-0.13555921128955867
2026-07-24,10,composite,-0.12350468720958506
2026-07-24,10,mom5,-0.05618861404728899
2026-07-24,10,mom60_skip5,-0.06078015076787917
2026-07-24,10,mom60_riskadj,-0.053193737424412364
2026-07-24,10,vol_5_50,-0.051496695968932554
2026-07-24,10,squeeze_own,-0.011026749468853934
2026-07-24,10,low_vol,-0.11694613683165343
2026-07-24,10,near_high,-0.15642140584186112
2026-07-24,10,vs_sma50,-0.10655602772604014
2026-07-24,10,vs_sma20,-0.1547233255745636
2026-07-24,10,rule5,-0.14571983477975
2026-07-24,10,rule5_mom20,-0.15046696704724433
2026-07-24,20,mom20,-0.04150387818817076
2026-07-24,20,vol_ratio,0.027764315265112593
2026-07-24,20,squeeze,-0.041859050724431496
2026-07-24,20,composite,-0.045386345970311326
2026-07-24,20,mom5,-0.010033842085059037
2026-07-24,20,mom60_skip5,-0.06055435205884352
2026-07-24,20,mom60_riskadj,-0.054691393311279056
2026-07-24,20,vol_5_50,-0.007891190390975833
2026-07-24,20,squeeze_own,-0.002652261873245872
2026-07-24,20,low_vol,-0.01480181978637419
2026-07-24,20,near_high,-0.06688497105821825
2026-07-24,20,vs_sma50,-0.03919264114113081
2026-07-24,20,vs_sma20,-0.06195495825120556
2026-07-24,20,rule5,-0.05551621987926971
2026-07-24,20,rule5_mom20,-0.05566563350323174
2026-07-31,5,mom20,-0.2296828073079409
2026-07-31,5,vol_ratio,-0.05172312205679112
2026-07-31,5,squeeze,-0.2088644400833584
2026-07-31,5,composite,-0.23760008191613485
2026-07-31,5,mom5,-0.10935430998007967
2026-07-31,5,mom60_skip5,-0.10564724034706097
2026-07-31,5,mom60_riskadj,-0.08903068701926786
2026-07-31,5,vol_5_50,-0.0862142057895402
2026-07-31,5,squeeze_own,-0.001062981550288761
2026-07-31,5,low_vol,-0.16692545460435365
2026-07-31,5,near_high,-0.2572816914400223
2026-07-31,5,vs_sma50,-0.1941750966588383
2026-07-31,5,vs_sma20,-0.15805732612911227
2026-07-31,5,rule5,-0.2464015113011359
2026-07-31,5,rule5_mom20,-0.25586934156530805
2026-07-31,10,mom20,-0.20967921067950876
2026-07-31,10,vol_ratio,-0.006131052697967927
2026-07-31,10,squeeze,-0.18759981546222274
2026-07-31,10,composite,-0.2045241344067367
2026-07-31,10,mom5,-0.12384227607676271
2026-07-31,10,mom60_skip5,-0.09770244257416684
2026-07-31,10,mom60_riskadj,-0.08822068073183309
2026-07-31,10,vol_5_50,-0.034515489372980435
2026-07-31,10,squeeze_own,-0.025297419097106116
2026-07-31,10,low_vol,-0.1466593064071921
2026-07-31,10,near_high,-0.24955589721982435
2026-07-31,10,vs_sma50,-0.20164785161394452
2026-07-31,10,vs_sma20,-0.17490207931160262
2026-07-31,10,rule5,-0.22017120533338894
2026-07-31,10,rule5_mom20,-0.2320186009463705
2026-07-31,20,mom20,-0.09696889384110804
2026-07-31,20,vol_ratio,-0.024145953711183898
2026-07-31,20,squeeze,-0.0722262586983985
2026-07-31,20,composite,-0.0939855036297803
2026-07-31,20,mom5,-0.13786059256346117
2026-07-31,20,mom60_skip5,-0.04405678893510101
2026-07-31,20,mom60_riskadj,-0.05973828172952343
2026-07-31,20,vol_5_50,-0.022188911949262487
2026-07-31,20,squeeze_own,-0.04382041254323625
2026-07-31,20,low_vol,0.00809425686106259
2026-07-31,20,near_high,-0.0737516499110373
2026-07-31,20,vs_sma50,-0.04205569604582622
2026-07-31,20,vs_sma20,-0.10393906362007699
2026-07-31,20,rule5,-0.06627115379403761
2026-07-31,20,rule5_mom20,-0.07473873237094848
2026-08-07,5,mom20,0.03996483466803378
2026-08-07,5,vol_ratio,-0.04036873448984871
2026-08-07,5,squeeze,0.029196508455630345
2026-08-07,5,composite,0.009634947147551502
2026-08-07,5,mom5,0.08879824569773206
2026-08-07,5,mom60_skip5,-0.0417910100364229
2026-08-07,5,mom60_riskadj,-0.08542865096089494
2026-08-07,5,vol_5_50,-0.05835819513256285
2026-08-07,5,squeeze_own,0.032580686138029016
2026-08-07,5,low_vol,0.042151046735809106
2026-08-07,5,near_high,0.003817040595057017
2026-08-07,5,vs_sma50,0.015391012231467152
2026-08-07,5,vs_sma20,0.05307933862039844
2026-08-07,5,rule5,-0.007613423494706233
2026-08-07,5,rule5_mom20,-0.001313590610648223
2026-08-07,10,mom20,0.05695731476223574
2026-08-07,10,vol_ratio,-0.038497156955017986
2026-08-07,10,squeeze,0.1713060850955973
2026-08-07,10,composite,0.08659876516853456
2026-08-07,10,mom5,0.06883613881492195
2026-08-07,10,mom60_skip5,0.020366767187063504
2026-08-07,10,mom60_riskadj,-0.03735363405646835
2026-08-07,10,vol_5_50,-0.0821154725087523
2026-08-07,10,squeeze_own,0.08596579511530103
2026-08-07,10,low_vol,0.17285775501592254
2026-08-07,10,near_high,0.10369868447949336
2026-08-07,10,vs_sma50,0.09488531848384021
2026-08-07,10,vs_sma20,0.05135591298782067
2026-08-07,10,rule5,0.1003912131895217
2026-08-07,10,rule5_mom20,0.10198311912946804
2026-08-07,20,mom20,0.027886722231341025
2026-08-07,20,vol_ratio,-0.030041862822239408
2026-08-07,20,squeeze,0.1847785786651415
2026-08-07,20,composite,0.0741009013676547
2026-08-07,20,mom5,0.03152868961302708
2026-08-07,20,mom60_skip5,0.041404561772446676
2026-08-07,20,mom60_riskadj,-0.028871589590480917
2026-08-07,20,vol_5_50,-0.05310283627889964
2026-08-07,20,squeeze_own,0.049348891694938474
2026-08-07,20,low_vol,0.19375697658312308
2026-08-07,20,near_high,0.12403843235233342
2026-08-07,20,vs_sma50,0.09298175497066914
2026-08-07,20,vs_sma20,0.015028009885795402
2026-08-07,20,rule5,0.11792250973947299
2026-08-07,20,rule5_mom20,0.11140267683171459
2026-08-14,5,mom20,0.09448248815834157
2026-08-14,5,vol_ratio,0.011500943470451969
2026-08-14,5,squeeze,0.1540305310576775
2026-08-14,5,composite,0.12739117786813536
2026-08-14,5,mom5,-0.11180480481134984
2026-08-14,5,mom60_skip5,0.1108538415614028
2026-08-14,5,mom60_riskadj,0.1065359647218977
2026-08-14,5,vol_5_50,-0.003484572985649124
2026-08-14,5,squeeze_own,0.033761934190844806
2026-08-14,5,low_vol,0.18422216680787393
2026-08-14,5,near_high,0.1708411563527439
2026-08-14,5,vs_sma50,0.17410488631185553
2026-08-14,5,vs_sma20,0.06242734287692108
2026-08-14,5,rule5,0.18251474436430754
2026-08-14,5,rule5_mom20,0.18328061465330134
2026-08-14,10,mom20,0.0669553261177959
2026-08-14,10,vol_ratio,-0.01275698532291274
2026-08-14,10,squeeze,0.14376619175442545
2026-08-14,10,composite,0.09414335166520332
2026-08-14,10,mom5,-0.08960315652345352
2026-08-14,10,mom60_skip5,0.13963441997906212
2026-08-14,10,mom60_riskadj,0.14328171090712444
2026-08-14,10,vol_5_50,0.004050691469691224
2026-08-14,10,squeeze_own,-0.012389995894732766
2026-08-14,10,low_vol,0.18583592717942038
2026-08-14,10,near_high,0.2119556623581282
2026-08-14,10,vs_sma50,0.19619578576472108
2026-08-14,10,vs_sma20,0.04788859206511684
2026-08-14,10,rule5,0.20466700094335238
2026-08-14,10,rule5_mom20,0.19847346003622166
2026-08-14,20,mom20,0.03763523833447403
2026-08-14,20,vol_ratio,0.029952614422379193
2026-08-14,20,squeeze,0.15304077815332223
2026-08-14,20,composite,0.09884193454996043
2026-08-14,20,mom5,-0.035682285626287676
2026-08-14,20,mom60_skip5,0.10795250569496818
2026-08-14,20,mom60_riskadj,0.12343285466682949
2026-08-14,20,vol_5_50,0.0748717328688157
2026-08-14,20,squeeze_own,-0.04150752394976643
2026-08-14,20,low_vol,0.19084673503917765
2026-08-14,20,near_high,0.2383936435772596
2026-08-14,20,vs_sma50,0.1766720094029266
2026-08-14,20,vs_sma20,0.030225278712724502
2026-08-14,20,rule5,0.23760571316643342
2026-08-14,20,rule5_mom20,0.2234245370663212
2026-08-21,5,mom20,-0.016296553902159946
2026-08-21,5,vol_ratio,0.003697790231753499
2026-08-21,5,squeeze,0.11642979096022175
2026-08-21,5,composite,0.05621802816788311
2026-08-21,5,mom5,0.15026627822370445
2026-08-21,5,mom60_skip5,0.18398455209167927
