date,horizon,signal,partial_ic
2026-06-18,20,rule5,0.06384016011894054
2026-06-18,20,rule5_mom20,0.061701070304979885
2026-06-26,5,mom20,-0.04392731502276022
2026-06-26,5,vol_ratio,0.0665949841653141
2026-06-26,5,squeeze,-0.018262016841607425
2026-06-26,5,composite,-0.010353219675591427
2026-06-26,5,mom5,0.1196381741714445
2026-06-26,5,mom60_skip5,-0.17201555645526845
2026-06-26,5,mom60_riskadj,-0.15211996692829804
2026-06-26,5,vol_5_50,0.033902934542825856
2026-06-26,5,squeeze_own,-0.05300018042063026
2026-06-26,5,near_high,-0.023908096835165937
2026-06-26,5,vs_sma50,-0.07314591762287805
2026-06-26,5,vs_sma20,0.04363204671703132
2026-06-26,5,rule5,-0.012153427752148163
2026-06-26,5,rule5_mom20,-0.022668017755788403
2026-06-26,10,mom20,0.06395298045002072
2026-06-26,10,vol_ratio,0.0718554453473717
2026-06-26,10,squeeze,0.04205656573567097
2026-06-26,10,composite,0.05791033839751105
2026-06-26,10,mom5,0.2073107580115129
2026-06-26,10,mom60_skip5,-0.17342445129517767
2026-06-26,10,mom60_riskadj,-0.15437182701092297
2026-06-26,10,vol_5_50,0.06177114781355714
2026-06-26,10,squeeze_own,-0.043553233971223564
2026-06-26,10,near_high,0.012783368606620426
2026-06-26,10,vs_sma50,0.007952835273121881
2026-06-26,10,vs_sma20,0.07760710981279954
2026-06-26,10,rule5,0.04527492846154756
2026-06-26,10,rule5_mom20,0.045709560402277964
2026-06-26,20,mom20,0.10920153890900512
2026-06-26,20,vol_ratio,0.06784067838085275
2026-06-26,20,squeeze,0.0489753030996182
2026-06-26,20,composite,0.09031650247268008
2026-06-26,20,mom5,0.2092098927700481
2026-06-26,20,mom60_skip5,-0.1609207093012398
2026-06-26,20,mom60_riskadj,-0.1306627442329554
2026-06-26,20,vol_5_50,0.07592574804944167
2026-06-26,20,squeeze_own,-0.05819396832997401
2026-06-26,20,near_high,0.052040994010172835
2026-06-26,20,vs_sma50,0.031546317256028314
2026-06-26,20,vs_sma20,0.0900877628715213
2026-06-26,20,rule5,0.06940785072643726
2026-06-26,20,rule5_mom20,0.07745861367111981
2026-07-02,5,mom20,-0.004903857709075039
2026-07-02,5,vol_ratio,-0.03428484483575841
2026-07-02,5,squeeze,-0.03644351591895727
2026-07-02,5,composite,-0.04031323274873742
2026-07-02,5,mom5,-0.09909551801504572
2026-07-02,5,mom60_skip5,0.02512311388867213
2026-07-02,5,mom60_riskadj,0.0315153623326083
2026-07-02,5,vol_5_50,0.0021102327448634995
2026-07-02,5,squeeze_own,-0.05598005141743548
2026-07-02,5,near_high,-0.013703282378443106
2026-07-02,5,vs_sma50,0.0062169257375227415
2026-07-02,5,vs_sma20,-0.07959408406813491
2026-07-02,5,rule5,-0.02689647287349794
2026-07-02,5,rule5_mom20,-0.029581211690392784
2026-07-02,10,mom20,0.10874572950226441
2026-07-02,10,vol_ratio,-0.08163663066027357
2026-07-02,10,squeeze,-0.03946707387895653
2026-07-02,10,composite,0.015568464671727846
2026-07-02,10,mom5,-0.028890452788835085
2026-07-02,10,mom60_skip5,-0.01440711834187142
2026-07-02,10,mom60_riskadj,0.003756234279380566
2026-07-02,10,vol_5_50,0.03124839618500983
2026-07-02,10,squeeze_own,-0.09564457762823726
2026-07-02,10,near_high,0.06173853970438151
2026-07-02,10,vs_sma50,0.07898002864184304
2026-07-02,10,vs_sma20,0.03443310022180527
2026-07-02,10,rule5,0.030781147560587946
2026-07-02,10,rule5_mom20,0.05087427419513883
2026-07-02,20,mom20,0.0727653780830232
2026-07-02,20,vol_ratio,-0.05155436957163794
2026-07-02,20,squeeze,-0.019589323313391502
2026-07-02,20,composite,0.0014832441291351146
2026-07-02,20,mom5,-0.014243133712563852
2026-07-02,20,mom60_skip5,-0.10162942655348202
2026-07-02,20,mom60_riskadj,-0.0845052606372968
2026-07-02,20,vol_5_50,0.05858580504588036
2026-07-02,20,squeeze_own,-0.08343913675363572
2026-07-02,20,near_high,-0.0008529189332659156
2026-07-02,20,vs_sma50,0.015082433490439058
2026-07-02,20,vs_sma20,0.009035033460165846
2026-07-02,20,rule5,-0.012005454733139471
2026-07-02,20,rule5_mom20,-9.771282967807005e-05
2026-07-10,5,mom20,0.1562190726592248
2026-07-10,5,vol_ratio,-0.050912363416683086
2026-07-10,5,squeeze,0.02690906395222133
2026-07-10,5,composite,0.08892636237362113
2026-07-10,5,mom5,0.14490918254621132
2026-07-10,5,mom60_skip5,0.0054776514380457655
2026-07-10,5,mom60_riskadj,0.03300419579567798
2026-07-10,5,vol_5_50,0.043200467262115204
2026-07-10,5,squeeze_own,-0.09887142767174965
2026-07-10,5,near_high,0.1952164623079771
2026-07-10,5,vs_sma50,0.18267743886902937
2026-07-10,5,vs_sma20,0.21794303068186086
2026-07-10,5,rule5,0.14672268461499638
2026-07-10,5,rule5_mom20,0.15771238293908915
2026-07-10,10,mom20,0.05751120965654364
2026-07-10,10,vol_ratio,-0.013281584491189258
2026-07-10,10,squeeze,0.0868869095683895
2026-07-10,10,composite,0.03565578529019607
2026-07-10,10,mom5,0.16359653003639077
2026-07-10,10,mom60_skip5,-0.06892171550045509
2026-07-10,10,mom60_riskadj,-0.057135994742968786
2026-07-10,10,vol_5_50,0.0777260927371137
2026-07-10,10,squeeze_own,-0.06637179098603646
2026-07-10,10,near_high,0.11899889947443933
2026-07-10,10,vs_sma50,0.09038064400381385
2026-07-10,10,vs_sma20,0.1407443213515215
2026-07-10,10,rule5,0.09666840719965954
2026-07-10,10,rule5_mom20,0.08655860618653119
2026-07-10,20,mom20,-0.012047497206610197
2026-07-10,20,vol_ratio,0.014666841473619352
2026-07-10,20,squeeze,0.03801558239572852
2026-07-10,20,composite,-0.02898020057705345
2026-07-10,20,mom5,-0.00918468073415383
2026-07-10,20,mom60_skip5,-0.028201485884249398
2026-07-10,20,mom60_riskadj,-0.03927762089611148
2026-07-10,20,vol_5_50,0.05056329730638772
2026-07-10,20,squeeze_own,-0.018550253684478817
2026-07-10,20,near_high,0.013049216862312807
2026-07-10,20,vs_sma50,6.454158989389577e-05
2026-07-10,20,vs_sma20,0.026347978977226398
2026-07-10,20,rule5,-0.00672391342815846
2026-07-10,20,rule5_mom20,-0.015104707362029762
2026-07-17,5,mom20,-0.09716327452544032
2026-07-17,5,vol_ratio,0.03536252775188544
2026-07-17,5,squeeze,0.09219377536002721
2026-07-17,5,composite,-0.038276879880454216
2026-07-17,5,mom5,-0.03846908183826571
2026-07-17,5,mom60_skip5,-0.10310768238595107
2026-07-17,5,mom60_riskadj,-0.10108929429527815
2026-07-17,5,vol_5_50,-0.011783446724275842
2026-07-17,5,squeeze_own,0.047473427269387136
2026-07-17,5,near_high,-0.06982197814031858
2026-07-17,5,vs_sma50,-0.09827231179257827
2026-07-17,5,vs_sma20,-0.061142633046956656
2026-07-17,5,rule5,-0.04232001786855343
2026-07-17,5,rule5_mom20,-0.07193350265048208
2026-07-17,10,mom20,0.013217347562946659
2026-07-17,10,vol_ratio,0.033912428946154406
2026-07-17,10,squeeze,0.030823690777576903
2026-07-17,10,composite,0.029141837233732364
2026-07-17,10,mom5,-0.025523542012339244
2026-07-17,10,mom60_skip5,-0.0691148783796614
2026-07-17,10,mom60_riskadj,-0.07182428945437071
2026-07-17,10,vol_5_50,-0.0017110131361749202
2026-07-17,10,squeeze_own,0.01679727526666142
2026-07-17,10,near_high,-0.015706905725269258
2026-07-17,10,vs_sma50,-0.021395851308878975
2026-07-17,10,vs_sma20,0.013536755903328814
